DIRECCIÓN,ESQUINA,COLONIA,ALCALDIA,TIPO DE POSTE,BOTON,ALTAVOZ,LONGITUD ,LATITUD ,ESTATUS CONECTIVIDAD
C. ROSARIO,ENTRE EJE 5 NORTE DEPORTIVO REYNOSA Y C. HIDALGO,PUEBLO SANTA BARBARA,AZCAPOTZALCO,9m,CON BOTON,CON ALTAVOZ,"-99,176154","19,495395",WIFI GRATUITO_ACTIVO
CALZ. RENACIMIENTO,EJE 3 NORTE CALZ SAN ISIDRO,SAN JUAN TLIHUACA,AZCAPOTZALCO,9m,CON BOTON,CON ALTAVOZ,"-99,201515","19,485459",WIFI GRATUITO_ACTIVO
C. LAURO VILLAR,CALZ. DE LAS ARMAS,PROVIDENCIA,AZCAPOTZALCO,9m,CON BOTON,CON ALTAVOZ,"-99,214244","19,495553",WIFI GRATUITO_ACTIVO
C. CAMPO GRIJALVA,C. CAMPO CHILAPILLA,FRACC. SAN ANTONIO,AZCAPOTZALCO,9m,SIN BOTON,CON ALTAVOZ,"-99,210188","19,480238",WIFI GRATUITO_ACTIVO
C. LUCIO BLANCO,ENTRE CALZADA DE LAS ARMAS Y C. MANUEL SALAZAR,PROVIDENCIA,AZCAPOTZALCO,9m,CON BOTON,CON ALTAVOZ,"-99,212587","19,488463",WIFI GRATUITO_ACTIVO
EJE 2 NORTE EULALIA GUZMAN,PRIV. F.C. CENTRAL,TLATILCO,AZCAPOTZALCO,9m,CON BOTON,CON ALTAVOZ,"-99,164938","19,459875",WIFI GRATUITO_ACTIVO
AV. DE LOS MAESTROS,AV. CLAVELINAS,AZCAPOTZALCO,AZCAPOTZALCO,9m,SIN BOTON,CON ALTAVOZ,"-99,165022","19,464649",WIFI GRATUITO_ACTIVO
C. PIRAMIDE,CALLE 24,SAN PEDRO DE LOS PINOS,BENITO JUAREZ,9m,CON BOTON,CON ALTAVOZ,"-99,189755","19,385391",WIFI GRATUITO_ACTIVO
AV. SALONICA,AV. DE LAS GRANJAS,JARDIN AZPEITIA,AZCAPOTZALCO,9m,SIN BOTON,CON ALTAVOZ,"-99,175788","19,470923",WIFI GRATUITO_ACTIVO
CALZ. DE TLALPAN,C. RIO  CHURUBUSCO,SAN DIEGO CHURUBUSCO,COYOACAN,9m,CON BOTON,CON ALTAVOZ,"-99,144346","19,35633",WIFI GRATUITO_ACTIVO
